# Columns:
# QSO_ID = QSO name
# z_abs = absorber redshift
# N(HI) = HI column density
# sig(N(HI)) = HI column density error
# [M/H] = metallicity
# sig([M/H]) = metallicity error
# log_Z = log of metal abundance by mass
# log_DTG = log of dust-to-gas ratio
# log_DTM = log of dust-to-metal ratio
QSO_ID,z_abs,N(HI),sig(N(HI)),[M/H],sig([M/H]),log_Z,log_DTG,log_DTM
eHAQ0111+0641,2.027,21.5,0.3,-0.23,0.34,-2.115,-2.757,-0.642
J1009+073,0.114,20.68,0.1,-0.44,0.24,-2.31,-3.499,-1.189
Q0454+039,0.86,20.69,0.06,-0.71,0.14,-2.58,-3.976,-1.396
J0003−2603,3.39,21.4,0.1,-1.599,0.143,-3.469,-4.394,-0.924
J0113−2803,3.106,21.2,0.1,-0.781,0.169,-2.651,-3.456,-0.805
J0124+0044,2.261,20.7,0.15,-0.279,0.181,-2.165,-2.803,-0.639
J0134+0400,3.772,20.7,0.1,-0.063,0.143,-1.962,-2.504,-0.542
J0307−4945,4.466,20.6,0.1,-1.209,0.18,-3.079,-3.826,-0.747
J0818+0958,3.306,21.0,0.1,-0.832,0.169,-2.728,-3.289,-0.561
J2344+0342,3.22,21.3,0.1,-1.415,0.364,-3.285,-4.595,-1.309
B0120-28,0.18562,20.71,0.07,-0.981,0.176,-2.851,-3.777,-0.925
Q0738+313,0.0912,21.18,0.05,-0.168,0.295,-2.083,-2.521,-0.438
Q0738+313,0.2212,20.9,0.07,-0.314,0.419,-2.218,-2.728,-0.511
J2353-0028,0.6043,21.54,0.15,-0.535,0.455,-2.445,-2.917,-0.472
J1323-0021,0.7156,20.54,0.15,0.988,0.441,-0.917,-1.284,-0.367
Q1007+0042,1.0373,21.15,0.24,-0.124,0.319,-2.028,-2.538,-0.511
J1225+0035,0.7731,21.38,0.12,-0.36,0.224,-2.232,-2.954,-0.722
Q0824+1302,4.829,20.8,0.15,-1.997,0.249,-3.867,-4.839,-0.972
